SampleTime,week,gps_tow,acc_x,acc_y,acc_z,omg_x,omg_y,omg_z,rpy_x,rpy_y,rpy_z,vel_x,vel_y,vel_z,pos_x,pos_y,alt,undulation,datsel,status
242,2144,216641.314844,-0.319146901369,-0.980144143105,-8.91223335266,-0.017040822655,-0.00825216155499,-0.0667088404298,0.0116795878857,-0.0278816483915,-2.49718546867,-11.9736461639,-8.95915031433,0.535198092461,0.199438350837,0.851308411344,424.571411133,4646,1161,46080
9469,2144,216641.324844,-0.453895568848,-1.0990421772,-10.2130966187,-0.0216697584838,-0.00423498917371,-0.0658662617207,0.0114825442433,-0.0279217604548,-2.49784827232,-11.974146843,-8.95021152496,0.524257421494,0.199438329577,0.851308392554,424.566131592,4646,1161,46080
19382,2144,216641.334843,-0.308457136154,-1.27108728886,-9.94137477875,-0.0293101519346,0.000616831122898,-0.0659718289971,0.0112152276561,-0.0279122572392,-2.49850702286,-11.9836616516,-8.9343328476,0.517705023289,0.199438308346,0.851308373754,424.560943604,4646,1161,46080
29623,2144,216641.344843,-0.456646591425,-1.32401573658,-9.39719581604,-0.0378100052476,0.00328074372374,-0.0649419054389,0.010865659453,-0.0278728306293,-2.499158144,-11.9918003082,-8.91920185089,0.52083170414,0.199438287149,0.851308354944,424.555786133,4646,1161,46080
39497,2144,216641.354843,-0.545247912407,-1.12284255028,-9.59024047852,-0.0413029491901,-0.00513535039499,-0.0654822513461,0.0104648834094,-0.0279116537422,-2.49981331825,-11.9978303909,-8.91222858429,0.531970977783,0.199438265977,0.851308336118,424.550476074,4646,1161,46080
49605,2144,216641.364843,-0.284424513578,-1.04118776321,-9.84834671021,-0.0339905284345,-0.000149621468154,-0.0652472004294,0.0101399132982,-0.0279109235853,-2.50046825409,-11.9992027283,-8.90537166595,0.525424003601,0.199438244822,0.851308317292,424.545227051,4646,1161,46080
60267,2144,216641.374842,-0.399541348219,-1.1890437603,-9.80292034149,-0.0357188098133,0.00272687780671,-0.0662392526865,0.00980092678219,-0.0278833247721,-2.50113105774,-12.0027809143,-8.89396858215,0.517176389694,0.199438223691,0.851308298457,424.540039063,4646,1161,46080
69688,2144,216641.384842,-0.252560853958,-0.980097770691,-9.2720451355,-0.0399478711188,0.00164989382029,-0.0651338323951,0.00941826403141,-0.0278548821807,-2.50178289413,-12.0107574463,-8.88760852814,0.529908239841,0.199438202584,0.851308279613,424.534790039,4646,1161,46080
79781,2144,216641.394843,-0.372243136168,-0.946722328663,-9.47644329071,-0.0316285640001,0.000867727387231,-0.0663445517421,0.00910691637546,-0.0278449133039,-2.50244545937,-12.0104112625,-8.88255596161,0.527606546879,0.199438181487,0.851308260763,424.529510498,4646,1161,46080
89718,2144,216641.404843,-0.291645735502,-0.995223462582,-9.7989025116,-0.0233612004668,0.00540240108967,-0.0650053843856,0.00884512625635,-0.0277789961547,-2.50310659409,-12.0120162964,-8.87733745575,0.526018857956,0.199438162451,0.851308241314,424.519561768,4646,1161,46080
99435,2144,216641.414842,-0.346242815256,-1.08934640884,-9.95631694794,-0.0097289448604,0.00323327747174,-0.0624600425363,0.00875587947667,-0.0277393907309,-2.50373387337,-12.0140132904,-8.87565135956,0.527042746544,0.199438141366,0.851308222464,424.514282227,4646,1161,46080
109720,2144,216641.424843,-0.415104776621,-1.01351368427,-9.61850738525,-0.00829812232405,-0.000995983718894,-0.0636759623885,0.00868594273925,-0.0277378819883,-2.5043694973,-12.0211391449,-8.86827754974,0.536463677883,0.199438120298,0.851308203604,424.508972168,4646,1161,46080
119387,2144,216641.434844,-0.476625919342,-1.11559581757,-9.13115692139,-0.0149776209146,-0.00115427700803,-0.0643886327744,0.00856401957572,-0.027748119086,-2.50501346588,-12.0281648636,-8.85187911987,0.537953436375,0.199438099258,0.851308184733,424.503570557,4646,1161,46080
129627,2144,216641.444845,-0.330381840467,-1.15473949909,-9.09078502655,-0.0134186344221,0.00817724596709,-0.0630613863468,0.00843327399343,-0.0276726521552,-2.50564789772,-12.0222215652,-8.84806632996,0.529845297337,0.199438078247,0.85130816586,424.49822998,4646,1161,46080
139581,2144,216641.454844,-0.270635455847,-0.909022152424,-10.4329957962,-0.0108766285703,0.00547364866361,-0.0616352856159,0.00834780558944,-0.0276034679264,-2.50626349449,-12.0340480804,-8.8406457901,0.538164496422,0.199438057242,0.851308146984,424.492858887,4646,1161,46080
149435,2144,216641.464844,-0.175530537963,-1.03191506863,-10.9300270081,-0.0174557697028,0.000785034091678,-0.0606378689408,0.00819485262036,-0.0275888666511,-2.50687289238,-12.0416154861,-8.83398723602,0.529309868813,0.199438036257,0.851308128092,424.487518311,4646,1161,46080
159575,2144,216641.474845,-0.275348395109,-0.996341049671,-9.80725193024,-0.0275498908013,-0.00392915867269,-0.0611157380044,0.00793743040413,-0.0276160538197,-2.50748324394,-12.0527105331,-8.82538604736,0.538047075272,0.199438015295,0.851308109183,424.482177734,4646,1161,46080
169596,2144,216641.484845,-0.516324579716,-0.960277080536,-8.99964904785,-0.0214224364609,-0.00308177317493,-0.0599979758263,0.0077335932292,-0.0276446565986,-2.50808644295,-12.0516786575,-8.82042598724,0.542674005032,0.199437994346,0.85130809027,424.476806641,4646,1161,46080
179455,2144,216641.494844,-0.444508612156,-1.08898341656,-9.69217205048,-0.0164577905089,-0.00598187139258,-0.0605803690851,0.00757693406194,-0.0276982486248,-2.50869131088,-12.0558872223,-8.81322669983,0.547375202179,0.199437973409,0.851308071352,424.471343994,4646,1161,46080
189329,2144,216641.504844,-0.328161120415,-1.34384846687,-10.7031316757,-0.0215645413846,-0.00540339387953,-0.0597087815404,0.00738810002804,-0.0277491994202,-2.50929069519,-12.0652217865,-8.79817390442,0.538121044636,0.199437952501,0.851308052425,424.465911865,4646,1161,46080
199659,2144,216641.514844,-0.360882401466,-0.989665985107,-10.8666887283,-0.0279794093221,-0.0111085418612,-0.0603798143566,0.00713072577491,-0.0278470199555,-2.50989627838,-12.0762424469,-8.79023551941,0.539549529552,0.199437931617,0.851308033481,424.460510254,4646,1161,46080
209830,2144,216641.524844,-0.235547497869,-1.19706082344,-10.3560285568,-0.024411348626,-0.00944606866688,-0.0577201731503,0.00688467826694,-0.0279463119805,-2.51047682762,-12.0729351044,-8.78822898865,0.521619021893,0.199437910747,0.851308014531,424.455200195,4646,1161,46080
219605,2144,216641.534843,-0.355439275503,-1.04755425453,-9.93951892853,-0.0165822897106,-0.00699361180887,-0.0575427524745,0.00673603126779,-0.0280053801835,-2.51105284691,-12.0818338394,-8.78041267395,0.52894371748,0.199437889888,0.85130799558,424.449951172,4646,1161,46080
229469,2144,216641.544844,-0.2914724648,-1.22968661785,-10.4180202484,-0.0252162218094,-0.0205875951797,-0.0579633526504,0.00649858266115,-0.028193231672,-2.5116341114,-12.0950984955,-8.77449226379,0.543327391148,0.199437869052,0.851307976606,424.444580078,4646,1161,46080
239691,2144,216641.554843,-0.487874567509,-1.00227844715,-10.4548063278,-0.0168406479061,-0.0206848885864,-0.0564947612584,0.00633828761056,-0.028405148536,-2.51220297813,-12.0920219421,-8.76839065552,0.524719297886,0.199437848224,0.851307957627,424.43927002,4646,1161,46080
249551,2144,216641.564843,-0.264553338289,-1.05052316189,-9.20902729034,-0.00556051544845,-0.0153457615525,-0.0556039512157,0.00628382945433,-0.0285619683564,-2.51275873184,-12.0916395187,-8.76287841797,0.520022571087,0.199437827405,0.851307938651,424.434020996,4646,1161,46080
