frame_id,class_id,track_id,velocity,coordinate_world_x_opt,coordinate_world_y_opt,coordinate_world_x,coordinate_world_y
2,car,1,0.0,678173.1925097124,5405297.202637134,678173.4994724403,5405297.492123397
2,car,2,0.0,678188.029260569,5405313.426510216,678188.6893730742,5405314.039653175
2,cyclist,3,0.0,678167.401897565,5405316.157635521,678167.4462261593,5405315.926117831
2,car,4,0.0,678179.9725114031,5405325.860787865,678181.1196870639,5405326.8243471645
2,car,5,0.0,678173.2475399624,5405310.029474394,678173.9411460184,5405310.762795604
2,car,6,0.0,678162.39545959,5405324.28197347,678163.0995656208,5405325.736659382
2,cyclist,7,0.0,678161.52011443,5405315.324690381,678161.6216382456,5405315.0819078395
2,cyclist,9,0.0,678173.0539875578,5405283.512333205,678172.9727698885,5405283.484345306
2,cyclist,11,0.0,678166.92591285,5405312.981062016,678167.8458686704,5405314.036249453
2,transporter,13,0.0,678159.0751702066,5405288.120789951,678158.0372962911,5405288.44472138
2,car,14,0.0,678175.3141062442,5405307.797384882,678175.9053452141,5405308.575049925
3,car,1,0.0,678173.5226269211,5405297.319198566,678173.8567330197,5405297.649495701
3,car,2,0.0,678187.8794486271,5405313.349177716,678188.50087561,5405313.952822466
3,cyclist,3,0.0,678167.2956998809,5405316.126168547,678167.3928155208,5405315.870345764
3,car,4,0.0,678179.6755424,5405325.92493723,678180.765345349,5405326.844506906
3,car,5,0.0,678173.0033135365,5405309.866755486,678173.7255464611,5405310.675715128
3,car,6,0.0,678162.3866549905,5405324.29713476,678163.0995656208,5405325.736659382
3,cyclist,7,0.0,678161.4226196776,5405315.287724231,678161.5309323046,5405314.978395337
3,cyclist,9,0.0,678173.164683932,5405283.579384629,678173.0674366063,5405283.5278541
3,cyclist,11,0.0,678166.92591285,5405312.981062016,678167.8458686704,5405314.036249453
3,transporter,13,0.0,678159.1249576021,5405288.134215019,678158.0637714188,5405288.39935747
3,car,14,0.0,678175.1449502071,5405307.711729678,678175.6844663759,5405308.493389838
4,car,1,0.0,678173.8335153766,5405297.429576626,678174.1623180185,5405297.7716774
4,car,2,0.0,678187.6533203837,5405313.236560463,678188.3131248952,5405313.866335745
4,cyclist,3,0.0,678167.1952591983,5405316.073126052,678167.2686268558,5405315.793517158
4,car,4,0.0,678179.424293096,5405326.000784193,678180.490752377,5405326.94319408
4,car,5,0.0,678172.7631883703,5405309.760852741,678173.5283843239,5405310.554564105
4,car,6,0.0,678162.3866549905,5405324.29713476,678163.0995656208,5405325.736659382
4,cyclist,7,0.0,678161.2886573775,5405315.262569535,678161.4062490035,5405314.939834831
4,cyclist,9,0.0,678173.2530944486,5405283.63564397,678173.1623779334,5405283.571489104
4,cyclist,11,0.0,678166.92591285,5405312.981062016,678167.8458686704,5405314.036249453
4,transporter,13,0.0,678159.0110877086,5405288.099899376,678158.1412809017,5405288.421170475
4,car,14,0.0,678175.0698884344,5405307.660955703,678175.5263736508,5405308.4621001985
5,car,1,0.0,678174.0928730757,5405297.532014279,678174.4148514639,5405297.857945345
5,car,2,0.0,678187.4006190181,5405313.120704802,678188.0603870115,5405313.677111184
5,cyclist,3,0.0,678167.12469329,5405316.051691821,678167.1978660916,5405315.772394735
5,car,4,0.0,678179.1558886402,5405326.203977823,678180.2169519439,5405327.04159642
5,car,5,0.0,678172.6489147051,5405309.717569865,678173.314930154,5405310.468454649
5,car,6,0.0,678162.3866549905,5405324.29713476,678163.0995656208,5405325.736659382
5,cyclist,7,0.0,678161.2314844052,5405314.813038001,678161.192221809,5405314.798660245
5,cyclist,9,0.0,678173.3076895429,5405283.645139806,678173.2436767186,5405283.640772637
5,transporter,13,0.0,678159.142117951,5405288.110898688,678158.2132290626,5405288.37530128
5,car,14,0.0,678174.916421632,5405307.600650463,678175.3859709818,5405308.396590236
5,transporter,15,0.0,678161.9968819239,5405293.437660977,678162.2150117982,5405293.781688284
6,car,1,0.0,678173.5866399794,5405297.330700957,678174.7248411585,5405297.981829585
6,car,2,0.0,678188.1770502247,5405313.507257031,678187.8744611786,5405313.59160856
6,cyclist,3,0.0,678167.3786043287,5405316.454323109,678167.0566810694,5405315.730250337
6,car,4,0.0,678179.6251629463,5405326.1154845655,678179.924249413,5405327.182281634
6,car,5,0.0,678173.598197754,5405310.240577186,678173.1025478139,5405310.382777578
6,car,6,0.0,678162.3866549905,5405324.29713476,678163.0995656208,5405325.736659382
6,cyclist,7,0.0,678161.4860229166,5405315.227217041,678161.024045613,5405314.709418356
6,cyclist,9,0.0,678172.9862288116,5405283.513713136,678173.387003108,5405283.706715101
6,cyclist,11,0.0,678166.8919139414,5405312.89642624,678167.7569843063,5405313.895389601
6,transporter,13,0.0,678157.2009973202,5405287.3951698,678158.4664830201,5405288.486128431
6,car,14,0.0,678175.9725034134,5405308.169526773,678175.3073653174,5405308.381063127
6,transporter,15,0.0,678162.1105850805,5405293.510962019,678162.4901302818,5405293.876038317
7,car,1,35.08421483905959,678173.8902665568,5405297.447476152,678175.0373111714,5405298.106705058
7,car,2,24.831193850952957,678187.9902779353,5405313.423742561,678187.6060873065,5405313.44405461
7,cyclist,3,11.946388928260067,678167.3106905092,5405316.416591353,678166.933559964,5405315.653968265
7,car,4,29.642313311259993,678179.452828671,5405326.197580378,678179.7092202676,5405327.401474493
7,car,5,24.664321336849813,678173.224123406,5405310.016862424,678172.8912292508,5405310.297529646
7,car,6,0.37870022955487403,678162.3866549905,5405324.29713476,678163.0995656208,5405325.736659382
7,cyclist,7,18.404287894667785,678161.3300011519,5405315.153251275,678160.8839097728,5405314.703587651
7,cyclist,9,13.032556684067208,678173.1145792073,5405283.60459809,678173.516998077,5405283.798594167
7,cyclist,11,0.0,678166.9658796755,5405312.934812626,678167.7569843063,5405313.895389601
7,transporter,13,18.27335380392712,678157.4398518571,5405287.5193137415,678158.7086167848,5405288.620851129
7,car,14,18.944939549891647,678175.697365101,5405307.997706863,678175.1505345736,5405308.350084087
7,transporter,15,0.0,678162.364710338,5405293.609645648,678162.689186001,5405293.913631562
8,car,1,35.30575247661245,678174.2223150991,5405297.5970332865,678175.4092276071,5405298.270227828
8,car,2,25.49822019423951,678187.8042398087,5405313.340556383,678187.5047993057,5405313.4216103405
8,cyclist,3,11.238916325573676,678167.2427671275,5405316.378921829,678166.7932522646,5405315.6121482095
8,car,4,29.972633589205515,678179.1693464019,5405326.326494747,678179.341165915,5405327.4625362195
8,car,5,23.952361774209074,678172.9922723055,5405309.918382231,678172.6809664923,5405310.212707635
8,car,6,0.0,678162.3866549905,5405324.29713476,678163.0995656208,5405325.736659382
8,cyclist,7,15.85454163569544,678161.1319644859,5405315.533402666,678160.7782824785,5405314.633744479
8,cyclist,9,11.922683106456356,678173.192937103,5405283.640825331,678173.5511490437,5405283.84642866
8,cyclist,11,1.735186745675466,678166.9573128523,5405312.951319816,678167.7569843063,5405313.895389601
8,transporter,13,14.482139505687684,678157.3540705999,5405287.482779852,678158.8206727718,5405288.66582531
8,car,14,19.871017634086474,678175.4809031959,5405307.895185174,678174.9333734519,5405308.269662547
8,transporter,15,0.0,678162.612924611,5405293.683182552,678162.9141985195,5405294.006081649
9,car,1,34.79863061673893,678174.4915747474,5405297.755768354,678175.7112997076,5405298.428388363
9,car,2,26.22778906280851,678187.5526176409,5405313.187367627,678187.3210546856,5405313.337110801
9,cyclist,3,13.743445883925613,678167.1795497369,5405316.03592508,678166.7232645506,5405315.5912877
9,car,4,30.6973384100689,678178.9367277673,5405326.484860527,678179.1465809714,5405327.638577142
9,car,5,21.50639397755384,678172.839780758,5405309.8863302,678172.4717516456,5405310.128308362
9,car,6,0.0,678162.3866549905,5405324.29713476,678163.0995656208,5405325.736659382
9,cyclist,7,16.244529630935485,678160.9983455734,5405315.4321639575,678160.7000187641,5405314.646882128
9,cyclist,9,11.951487508035298,678173.2883306061,5405283.684736008,678173.6475839753,5405283.890890896
9,cyclist,11,1.5681574189351248,678166.9486570524,5405312.9679984525,678167.6865251507,5405313.875964042
9,transporter,13,24.80326750182276,678157.6387196041,5405287.587991076,678159.0525279386,5405288.825291679
9,car,14,23.625744676064215,678175.24425609,5405307.790233534,678174.6569213303,5405308.140387006
9,transporter,15,0.0,678161.949779084,5405293.4346543765,678163.1407489296,5405294.099163604
10,car,1,35.93160252767386,678174.812786649,5405297.83173143,678176.0318607324,5405298.5567094255
10,car,2,22.480818723486262,678187.4520019551,5405313.150846913,678187.1380286124,5405313.2529417025
10,cyclist,3,16.145170896683616,678167.0391523913,5405315.941183116,678166.583620084,5405315.549665328
10,car,4,30.238387299581536,678178.6292060334,5405326.577937322,678178.8565585795,5405327.777865274
10,car,5,24.239665774204465,678172.6262323209,5405309.767797286,678172.2463639412,5405310.07827458
10,car,6,0.0,678162.3866549905,5405324.29713476,678163.0995656208,5405325.736659382
10,cyclist,7,15.914587972478403,678160.8789822003,5405315.411763607,678160.5339723483,5405314.558518002
10,cyclist,9,12.586653829767709,678173.345937137,5405283.727514099,678173.744301375,5405283.935483368
10,cyclist,11,1.5681574189351248,678166.9486570524,5405312.9679984525,678167.6865251507,5405313.875964042
10,transporter,13,20.319140176747414,678157.625303934,5405287.615058161,678159.0992170968,5405288.825083601
10,car,14,23.669573830865218,678175.0845142847,5405307.784640662,678174.3823448137,5405308.011988542
10,transporter,15,28.494601462136906,678162.2615137461,5405293.549922449,678163.4233691609,5405294.19608631
11,car,1,36.7957763503571,678175.1479780036,5405298.006951294,678176.2965908337,5405298.647614621
11,car,2,23.344488713618627,678187.2033877056,5405312.983885842,678186.9374771926,5405313.208662582
11,cyclist,3,13.532900170051283,678166.9509697533,5405315.954326324,678166.5139628104,5405315.528903309
11,car,4,30.40252615723472,678178.3781020311,5405326.776415426,678178.5673006508,5405327.91678626
11,car,5,28.298474719324776,678172.3784243179,5405309.653621152,678172.0564345068,5405309.960765451
11,car,6,0.0,678162.3866549905,5405324.29713476,678163.0995656208,5405325.736659382
