frame_id,class_id,track_id,velocity,coordinate_world_x_opt,coordinate_world_y_opt,coordinate_world_x,coordinate_world_y
2,car,1,0.0,678147.6580333948,5405290.982689852,678147.8265068501,5405291.325026373
2,car,2,0.0,678191.4174529801,5405318.701322115,678192.1636290919,5405319.450349782
2,car,3,0.0,678164.2356783242,5405315.099296164,678164.736300674,5405316.204816842
2,car,4,0.0,678148.1901713484,5405287.947032431,678148.3357810162,5405288.120473508
2,car,5,0.0,678191.3755779247,5405315.180391106,678192.1406394963,5405315.832344277
2,car,6,0.0,678158.5744755177,5405325.474995062,678159.0124237858,5405326.75959211
2,car,7,0.0,678160.2460106987,5405315.335988876,678160.5870062006,5405316.346725185
2,car,8,0.0,678193.3330476825,5405312.610392986,678193.8283411529,5405313.123392919
3,car,1,0.0,678147.6580333948,5405290.982689852,678147.8265068501,5405291.325026373
3,car,2,0.0,678191.4174529801,5405318.701322115,678192.1636290919,5405319.450349782
3,car,3,0.0,678164.2782982634,5405314.950759586,678164.8064575962,5405316.069747822
3,car,4,0.0,678148.1901713484,5405287.947032431,678148.3357810162,5405288.120473508
3,car,5,0.0,678191.3755779247,5405315.180391106,678192.1406394963,5405315.832344277
3,car,6,0.0,678158.6282834291,5405325.431990737,678159.0495826429,5405326.688142816
3,car,7,0.0,678160.2795158395,5405315.144922848,678160.6287619657,5405316.1313829115
3,car,8,0.0,678193.3330476825,5405312.610392986,678193.8283411529,5405313.123392919
4,car,1,0.0,678147.6580333948,5405290.982689852,678147.8265068501,5405291.325026373
4,car,2,0.0,678191.4174529801,5405318.701322115,678192.1636290919,5405319.450349782
4,car,3,0.0,678164.334271855,5405314.769577829,678164.8940790669,5405315.901055328
4,car,4,0.0,678148.1901713484,5405287.947032431,678148.3357810162,5405288.120473508
4,car,5,0.0,678191.3755779247,5405315.180391106,678192.1406394963,5405315.832344277
4,car,6,0.0,678158.6552996517,5405325.382344504,678159.0681566499,5405326.652428593
4,car,7,0.0,678160.3071275778,5405314.904979485,678160.6704096858,5405315.916597844
4,car,8,0.0,678193.3330476825,5405312.610392986,678193.8283411529,5405313.123392919
5,car,1,0.0,678147.6580333948,5405290.982689852,678147.8265068501,5405291.325026373
5,car,2,0.0,678191.4174529801,5405318.701322115,678192.1636290919,5405319.450349782
5,car,3,0.0,678164.4149911469,5405314.623854909,678164.9316126212,5405315.678232131
5,car,4,0.0,678148.1901713484,5405287.947032431,678148.3357810162,5405288.120473508
5,car,5,0.0,678191.3755779247,5405315.180391106,678192.1406394963,5405315.832344277
5,car,6,0.0,678158.6391670947,5405325.264644904,678159.0591443714,5405326.515477234
5,car,7,0.0,678160.3493977273,5405314.696584802,678160.71194978,5405315.7023678245
5,car,8,0.0,678193.3330476825,5405312.610392986,678193.8283411529,5405313.123392919
6,car,1,0.0,678147.6580333948,5405290.982689852,678147.8265068501,5405291.325026373
6,car,2,0.0,678192.3469551476,5405319.270739591,678192.1636290919,5405319.450349782
6,car,3,0.0,678164.245638412,5405315.143535659,678164.986505676,5405315.422420261
6,car,4,0.0,678148.1901713484,5405287.947032431,678148.3357810162,5405288.120473508
6,car,5,0.0,678191.3755779247,5405315.180391106,678192.232953851,5405315.900477454
6,car,6,0.0,678158.5505327524,5405326.109674146,678159.0962428091,5405326.444174088
6,car,7,0.0,678160.1979383549,5405315.268092391,678160.7533826648,5405315.488690705
6,car,8,0.0,678193.3330476825,5405312.610392986,678193.8283411529,5405313.123392919
7,car,1,0.0,678147.6580333948,5405290.982689852,678147.8265068501,5405291.325026373
7,car,2,3.2099582199800825,678192.3649643362,5405319.2437969195,678192.1636290919,5405319.450349782
7,car,3,20.306502881507807,678164.3320353286,5405314.978948299,678165.0563137749,5405315.28813626
7,car,4,0.0,678148.1901713484,5405287.947032431,678148.3357810162,5405288.120473508
7,car,5,0.0,678191.3755779247,5405315.180391106,678192.232953851,5405315.900477454
7,car,6,9.217180773348321,678158.5262307657,5405325.967586454,678159.0872115064,5405326.307625266
7,car,7,23.2950686551901,678160.240411416,5405315.058942905,678160.7947087546,5405315.2755643455
7,car,8,0.0,678193.3330476825,5405312.610392986,678193.8283411529,5405313.123392919
8,car,1,0.0,678147.6580333948,5405290.982689852,678147.8265068501,5405291.325026373
