frame_id,class_id,track_id,velocity,coordinate_world_x_opt,coordinate_world_y_opt,coordinate_world_x,coordinate_world_y
2,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
2,car,2,0.0,678149.7897537049,5405285.018300466,678149.7912849669,5405285.194695246
2,cyclist,3,0.0,678160.3143088927,5405281.235499243,678160.4699831129,5405281.321366614
2,bus,4,0.0,678166.1113438852,5405306.44088967,678166.0672347379,5405308.600786985
2,cyclist,5,0.0,678180.0669116704,5405283.7981265,678179.9659289187,5405283.780423858
3,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
3,car,2,0.0,678150.2708656294,5405285.1721475255,678150.2486076503,5405285.338967966
3,cyclist,3,0.0,678160.2963609826,5405281.237953266,678160.4699831129,5405281.321366614
3,bus,4,0.0,678165.9454136697,5405306.37591693,678165.77475298,5405308.466021183
3,cyclist,5,0.0,678180.0740128462,5405283.784723382,678179.9659289187,5405283.780423858
4,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
4,car,2,0.0,678150.7249163128,5405285.300536195,678150.7498188383,5405285.483852591
4,cyclist,3,0.0,678160.2995745305,5405281.227225639,678160.4378369228,5405281.304413145
4,bus,4,0.0,678165.7519415377,5405306.338192541,678165.5804674427,5405308.423281083
4,cyclist,5,0.0,678180.1108480147,5405283.783148099,678179.9803290131,5405283.752963033
5,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
5,car,2,0.0,678151.1849654283,5405285.459485332,678151.1867795825,5405285.63493539
5,cyclist,3,0.0,678160.2917085553,5405281.208504036,678160.4378369228,5405281.304413145
5,bus,4,0.0,678165.4992687467,5405306.173953929,678165.3081713949,5405308.2588019185
5,cyclist,5,0.0,678180.1451639857,5405283.780969894,678180.0513064305,5405283.749176823
6,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
6,car,2,0.0,678150.8606395535,5405285.352062378,678151.7052567226,5405285.785037937
6,cyclist,3,0.0,678160.2976297777,5405281.208789067,678160.4503348516,5405281.283198088
6,bus,4,0.0,678167.731650661,5405307.187150892,678165.0995942163,5405308.247924528
6,cyclist,5,0.0,678180.2091043643,5405283.7913270965,678180.1079747115,5405283.772883819
7,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
7,car,2,52.20895032902345,678151.2908815783,5405285.488608623,678152.1699655915,5405285.920974712
7,cyclist,3,0.9138400542211115,678160.2797475006,5405281.211097868,678160.4378369228,5405281.304413145
7,bus,4,23.55187150011935,678167.5138210695,5405307.174820551,678164.8943005784,5405308.098961833
7,cyclist,5,4.259180262485268,678180.2606659522,5405283.761507992,678180.1223828447,5405283.745385332
8,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
8,car,2,51.53686965594375,678151.7410010998,5405285.630810268,678152.6299637266,5405286.079576501
8,cyclist,3,0.40068998216917573,678160.2971123168,5405281.219418026,678160.4503348516,5405281.283198088
8,bus,4,24.77244862359526,678167.2999909411,5405307.08838449,678164.7041597734,5405308.057513464
8,cyclist,5,5.0061651173612765,678180.302385409,5405283.745202879,678180.1935584629,5405283.74158855
8,scooter,9,0.0,678174.043348032,5405283.278106771,678173.8996705669,5405283.205832662
9,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
9,car,2,50.77274012159129,678152.160216744,5405285.742162315,678153.0711892787,5405286.221753071
9,cyclist,3,0.4668193517230995,678160.299065885,5405281.24883166,678160.4503348516,5405281.283198088
9,bus,4,26.669696713158874,678167.0124686843,5405306.97135296,678164.5148505423,5405308.01624637
9,cyclist,5,5.560747591274406,678180.3667303516,5405283.754852828,678180.2648334929,5405283.737786464
9,scooter,9,0.0,678174.043348032,5405283.278106771,678173.8513998154,5405283.184160444
10,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
10,car,2,51.31354718480971,678152.6463885283,5405285.898383075,678153.5462437724,5405286.385462355
10,cyclist,3,0.7366811089694644,678160.3082520069,5405281.238328634,678160.4503348516,5405281.283198088
10,bus,4,26.910246833551607,678166.730170259,5405306.748051684,678164.2011683357,5405307.9478674885
10,cyclist,5,4.81896705011862,678180.3667303516,5405283.754852828,678180.2792472055,5405283.710254888
10,scooter,9,0.0,678173.9389111847,5405283.19977396,678173.7550689002,5405283.140910556
11,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
11,car,2,51.439690021526495,678153.1106065747,5405286.076300832,678154.0144833412,5405286.511424789
11,cyclist,3,0.7204401295004889,678160.2875171353,5405281.24057278,678160.4378369228,5405281.304413145
11,bus,4,32.01155458194582,678166.3511078196,5405306.445348756,678163.9225056376,5405307.818684165
11,scooter,9,0.0,678173.8673878594,5405283.167817457,678173.7208954033,5405283.093842663
12,car,1,0.34889170718885343,678156.1224068314,5405321.387848588,678156.5171121365,5405322.493863096
12,car,2,51.89048669587283,678153.5829870055,5405286.198803101,678154.4774811909,5405286.660503448
12,cyclist,3,0.8514953093904419,678160.3082520069,5405281.238328634,678160.4503348516,5405281.283198088
12,bus,4,32.59223048635054,678166.1318758168,5405306.350441449,678163.7530506155,5405307.747757242
12,scooter,9,0.0,678174.2160734464,5405283.310943248,678173.6249710728,5405283.05082135
13,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
13,car,2,51.542454241843366,678154.0110336491,5405286.329054054,678154.9890523994,5405286.810700598
13,cyclist,3,0.7778612848654223,678160.2696613317,5405281.242727133,678160.4378369228,5405281.304413145
13,bus,4,32.38343134507754,678165.9476351346,5405306.230003894,678163.5228546582,5405307.663840443
13,scooter,9,7.8878682994106555,678174.1826582974,5405283.296052551,678173.5771132167,5405283.029357476
14,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
14,car,2,52.9140931788706,678154.4854167914,5405286.499978339,678155.4548916856,5405286.98619545
14,cyclist,3,0.5324126389633606,678160.2779774284,5405281.261592422,678160.4378369228,5405281.304413145
14,bus,4,27.64764669728128,678165.8728847082,5405306.331992364,678163.326601187,5405307.519683595
14,cyclist,5,8.862265023529662,678180.114180172,5405283.514164293,678180.565361632,5405283.694917476
14,scooter,9,7.9136352265863374,678174.1966007303,5405283.270373032,678173.5771132167,5405283.029357476
15,car,1,0.0,678156.130761327,5405321.374024615,678156.5171121365,5405322.493863096
