frame_id,class_id,track_id,velocity,coordinate_world_x_opt,coordinate_world_y_opt,coordinate_world_x,coordinate_world_y
2,car,1,0.0,678156.8197110957,5405316.767172154,678157.1221918805,5405317.786128182
2,car,2,0.0,678148.2920219649,5405287.514058617,678148.3545692845,5405287.865715731
2,car,3,0.0,678182.2579757445,5405283.72977059,678183.1173801116,5405284.027418701
2,car,4,0.0,678163.0663581847,5405323.263749586,678163.7789031814,5405324.0732708145
2,person,6,0.0,678185.1046057979,5405312.036387284,678185.1046057979,5405312.036387284
2,car,7,0.0,678191.8557684039,5405315.69829097,678192.5855156947,5405316.216924113
2,person,8,0.0,678150.9231121192,5405298.903149814,678150.9231121192,5405298.903149814
3,car,1,0.0,678156.8146796771,5405316.654051889,678157.1738031618,5405317.6902632285
3,car,2,0.0,678148.2920219649,5405287.514058617,678148.3545692845,5405287.865715731
3,car,3,0.0,678182.0929458955,5405283.787376914,678183.0881321442,5405284.084290766
3,car,4,0.0,678163.0818670179,5405323.309193881,678163.7789031814,5405324.0732708145
3,person,6,0.0,678185.1226490455,5405311.997815131,678185.1226490455,5405311.997815131
3,car,7,0.0,678191.8557684039,5405315.69829097,678192.5855156947,5405316.216924113
3,person,8,0.0,678150.9371027326,5405298.879299216,678150.9371027326,5405298.879299216
4,car,1,0.0,678156.8415914774,5405316.530676786,678157.1846138196,5405317.541732466
4,car,2,0.0,678148.2920219649,5405287.514058617,678148.3545692845,5405287.865715731
4,car,3,0.0,678182.2597929597,5405283.855653178,678183.0588739235,5405284.141182769
4,car,4,0.0,678163.1216904251,5405323.3714428125,678163.7789031814,5405324.0732708145
4,person,6,0.0,678185.158723698,5405311.920696142,678185.158723698,5405311.920696142
4,car,7,0.0,678191.8557684039,5405315.69829097,678192.5855156947,5405316.216924113
4,person,8,0.0,678150.9371027326,5405298.879299216,678150.9371027326,5405298.879299216
5,car,1,0.0,678156.8659390456,5405316.419247042,678157.212559244,5405317.361677179
5,car,2,0.0,678148.2920219649,5405287.514058617,678148.3545692845,5405287.865715731
5,car,3,0.0,678182.0791469153,5405283.949264826,678183.0759881207,5405284.251469023
5,car,4,0.0,678163.1216904251,5405323.3714428125,678163.7789031814,5405324.0732708145
5,person,6,0.0,678185.1767551055,5405311.8821493,678185.1767551055,5405311.8821493
5,car,7,0.0,678191.8598398075,5405315.675604225,678192.5855156947,5405316.216924113
5,person,8,0.0,678150.9650780612,5405298.831608074,678150.9650780612,5405298.831608074
6,car,1,0.0,678156.8149212132,5405317.195818415,678157.2640157889,5405317.266168125
6,car,2,0.0,678148.2920219649,5405287.514058617,678148.3545692845,5405287.865715731
6,car,3,0.0,678182.4995601622,5405283.231232283,678183.046691251,5405284.308461374
6,car,4,0.0,678163.1216904251,5405323.3714428125,678163.7789031814,5405324.0732708145
6,person,6,0.0,678185.116595342,5405311.784757812,678185.116595342,5405311.784757812
6,car,7,0.0,678191.8450337346,5405315.694545389,678192.5855156947,5405316.216924113
6,person,8,0.0,678150.9509752316,5405298.778388374,678150.9509752316,5405298.778388374
7,car,1,12.537784612951883,678156.8119480272,5405317.044956837,678157.2575715706,5405317.150256525
7,car,2,0.0,678148.2920219649,5405287.514058617,678148.3545692845,5405287.865715731
7,car,3,6.923228245713101,678182.515850836,5405283.2963036625,678183.0173840963,5405284.365473732
7,car,4,0.0,678163.1216904251,5405323.3714428125,678163.7789031814,5405324.0732708145
7,person,6,9.177281628568165,678185.1526192086,5405311.707796765,678185.1526192086,5405311.707796765
7,car,7,0.0,678191.8450337346,5405315.694545389,678192.5855156947,5405316.216924113
7,person,8,5.96484740898983,678150.9789246055,5405298.730752327,678150.9789246055,5405298.730752327
8,car,1,19.580378974860945,678156.8662036746,5405316.979750878,678157.2853632612,5405316.971099495
8,car,2,0.0,678148.2920219649,5405287.514058617,678148.3545692845,5405287.865715731
8,car,3,6.925659107812228,678182.5003731877,5405283.365371245,678182.988066651,5405284.422506109
8,car,4,0.0,678163.1216904251,5405323.3714428125,678163.7789031814,5405324.0732708145
8,person,6,4.58713727435318,678185.1706252398,5405311.66932885,678185.1706252398,5405311.66932885
8,car,7,5.008783924732744,678191.8450337346,5405315.694545389,678192.5667905537,5405316.259353508
8,person,8,8.944131174902603,678151.0208339535,5405298.659323332,678151.0208339535,5405298.659323332
9,car,1,7.785582978568334,678156.8593790985,5405316.949359478,678157.3195741766,5405316.907645587
9,car,2,0.0,678148.2920219649,5405287.514058617,678148.3545692845,5405287.865715731
9,car,3,9.517025001805845,678182.3203036902,5405283.486150203,678183.0198064528,5405284.504712103
9,car,4,0.0,678163.0277365417,5405323.194071197,678163.7789031814,5405324.0732708145
9,person,6,4.586135421246972,678185.1886273383,5405311.630869336,678185.1886273383,5405311.630869336
9,car,7,5.008783924732744,678191.8450337346,5405315.694545389,678192.5855156947,5405316.216924113
9,person,8,5.96066185737045,678151.0487637148,5405298.611720711,678151.0487637148,5405298.611720711
10,car,1,12.470243502404541,678156.8981869642,5405316.832845859,678157.31308978,5405316.792362591
10,car,2,0.0,678148.2920219649,5405287.514058617,678148.3545692845,5405287.865715731
10,car,3,6.936037465445628,678182.4108747127,5405283.496639421,678182.9904553627,5405284.561835232
10,car,4,0.0,678163.0517605022,5405323.225908319,678163.7789031814,5405324.0732708145
