frame_id,class_id,track_id,velocity,coordinate_world_x_opt,coordinate_world_y_opt,coordinate_world_x,coordinate_world_y
2,car,1,0.0,678181.9919225255,5405287.407865668,678182.751329993,5405287.832611667
2,car,2,0.0,678190.5720053755,5405314.799629287,678191.2258014334,5405315.434200332
2,bicycle,3,0.0,678187.2923237704,5405305.593747144,678187.2923237704,5405305.593747144
2,car,6,0.0,678189.7588189116,5405317.98407712,678190.5300904182,5405318.634642189
2,transporter,8,0.0,678162.2776039103,5405326.0152801005,678164.0602476591,5405328.494471375
2,bicycle,9,0.0,678175.6084922164,5405319.552579518,678175.6084922164,5405319.552579518
3,car,1,0.0,678182.0064940981,5405287.598937683,678182.7384217384,5405288.009171833
3,car,2,0.0,678190.5720053755,5405314.799629287,678191.2258014334,5405315.434200332
3,bicycle,3,0.0,678187.2575893323,5405305.667624133,678187.2575893323,5405305.667624133
3,car,6,0.0,678189.7588189116,5405317.98407712,678190.5300904182,5405318.634642189
3,transporter,8,0.0,678162.2776039103,5405326.0152801005,678164.0602476591,5405328.494471375
3,person,9,0.0,678175.7610288115,5405319.644337081,678175.7610288115,5405319.644337081
4,car,1,0.0,678181.999536559,5405287.7545847,678182.7880630798,5405288.21513118
4,car,2,0.0,678190.5720053755,5405314.799629287,678191.2258014334,5405315.434200332
4,bicycle,3,0.0,678187.2054598616,5405305.778498774,678187.2054598616,5405305.778498774
4,car,6,0.0,678189.7588189116,5405317.98407712,678190.5300904182,5405318.634642189
4,transporter,8,0.0,678162.3009690312,5405326.049270424,678164.0602476591,5405328.494471375
4,person,9,0.0,678175.8282040701,5405319.709589303,678175.8282040701,5405319.709589303
4,bicycle,11,0.0,678150.0159637241,5405297.951062771,678150.0159637241,5405297.951062771
5,car,1,0.0,678182.0284457391,5405287.923403236,678182.7902819861,5405288.363042298
5,car,2,0.0,678190.5720053755,5405314.799629287,678191.2258014334,5405315.434200332
5,bicycle,3,0.0,678187.0923984628,5405305.800883225,678187.0923984628,5405305.800883225
5,car,6,0.0,678189.7588189116,5405317.98407712,678190.5300904182,5405318.634642189
5,transporter,8,0.0,678162.2776039103,5405326.0152801005,678164.0602476591,5405328.494471375
5,person,9,0.0,678175.7796293163,5405319.605893722,678175.7796293163,5405319.605893722
5,bicycle,11,0.0,678150.0709925145,5405297.857939531,678150.0709925145,5405297.857939531
6,car,1,0.0,678182.0539221852,5405287.261180473,678182.8553472608,5405288.540618799
6,car,2,0.0,678190.5720053755,5405314.799629287,678191.2258014334,5405315.434200332
6,bicycle,3,0.0,678186.9621299643,5405305.860155022,678186.9621299643,5405305.860155022
6,car,6,0.0,678189.7588189116,5405317.98407712,678190.5300904182,5405318.634642189
6,transporter,8,0.0,678162.3009690312,5405326.049270424,678164.0602476591,5405328.494471375
6,bicycle,9,0.0,678175.6270743961,5405319.514217401,678175.6270743961,5405319.514217401
6,bicycle,11,0.0,678150.1122442384,5405297.788130725,678150.1122442384,5405297.788130725
7,car,1,18.648563988748776,678182.0478297835,5405287.377129323,678182.8576540723,5405288.689399108
7,car,2,0.0,678190.5720053755,5405314.799629287,678191.2258014334,5405315.434200332
7,bicycle,3,11.601720347342935,678186.9099640439,5405305.97096773,678186.9099640439,5405305.97096773
7,car,6,0.0,678189.7588189116,5405317.98407712,678190.5300904182,5405318.634642189
7,transporter,8,0.0,678162.2776039103,5405326.0152801005,678164.0602476591,5405328.494471375
7,bicycle,9,0.0,678175.6084922164,5405319.552579518,678175.6084922164,5405319.552579518
7,bicycle,11,0.0,678150.1534789435,5405297.718350719,678150.1534789435,5405297.718350719
8,car,1,17.320486956822887,678182.077029147,5405287.566443842,678182.796970662,5405288.808905896
8,car,2,0.0,678190.5720053755,5405314.799629287,678191.2258014334,5405315.434200332
8,bicycle,3,12.178508844111809,678186.7972559851,5405305.993179101,678186.7972559851,5405305.993179101
8,car,6,0.0,678189.7588189116,5405317.98407712,678190.5300904182,5405318.634642189
8,transporter,8,0.0,678162.2776039103,5405326.0152801005,678164.0602476591,5405328.494471375
8,person,9,2.0188653792848443,678175.6939857167,5405319.57921324,678175.6939857167,5405319.57921324
8,bicycle,11,0.0,678150.1946966404,5405297.648599495,678150.1946966404,5405297.648599495
9,car,1,16.698109136495532,678182.0881709447,5405287.73333279,678182.7840151632,5405288.988181191
9,car,2,0.0,678190.4338367641,5405314.771283599,678191.2258014334,5405315.434200332
9,bicycle,3,12.178803356810434,678186.7450608247,5405306.103984457,678186.7450608247,5405306.103984457
9,car,6,0.0,678189.7588189116,5405317.98407712,678190.5300904182,5405318.634642189
9,transporter,8,0.0,678162.2776039103,5405326.0152801005,678164.0602476591,5405328.494471375
9,bicycle,9,6.0566078655470506,678175.6270743961,5405319.514217401,678175.6270743961,5405319.514217401
9,bicycle,11,7.588627152729179,678150.1946966404,5405297.648599495,678150.1946966404,5405297.648599495
10,car,1,16.737708970808136,678182.0400095384,5405287.865083786,678182.7862427497,5405289.137925704
10,car,2,0.0,678191.268263208,5405315.519230016,678191.2258014334,5405315.434200332
10,bicycle,3,11.595359414488986,678186.7102455006,5405306.177894077,678186.7102455006,5405306.177894077
10,car,6,0.0,678189.7588189116,5405317.98407712,678190.5300904182,5405318.634642189
10,transporter,8,0.0,678162.2776039103,5405326.0152801005,678164.0602476591,5405328.494471375
10,bicycle,9,5.820547554220417,678175.5602944618,5405319.449349186,678175.5602944618,5405319.449349186
10,bicycle,11,5.835398168933438,678150.2084320949,5405297.62535548,678150.2084320949,5405297.62535548
11,car,1,15.53535123353539,678182.0517485682,5405288.024884223,678182.8037076779,5405289.257991805
11,car,2,0.0,678190.4338367641,5405314.771283599,678191.2258014334,5405315.434200332
11,bicycle,3,12.418009391664617,678186.5628904987,5405306.273829865,678186.5628904987,5405306.273829865
