frame_id,class_id,track_id,velocity,coordinate_world_x_opt,coordinate_world_y_opt,coordinate_world_x,coordinate_world_y
2,car,1,0.0,678162.4738077226,5405321.702088224,678162.9842727104,5405323.01536183
2,car,2,0.0,678159.4811839066,5405288.216970149,678159.5811302086,5405288.315544418
2,car,3,0.0,678176.9368373511,5405295.086869966,678177.1016062816,5405295.280945624
2,car,4,0.0,678146.0936445554,5405299.696120676,678146.5784900248,5405300.223820271
2,car,6,0.0,678162.0094042418,5405328.754725825,678162.5046240953,5405330.162705553
2,car,8,0.0,678158.2184208783,5405291.305201181,678158.3531249372,5405291.503240172
2,car,9,0.0,678184.3929198524,5405312.217409767,678185.0684121802,5405312.79599756
2,car,10,0.0,678174.6937500339,5405297.992355975,678174.9896983013,5405298.1988431355
2,car,11,0.0,678198.5495088939,5405310.063614484,678198.4475510932,5405309.972753101
2,bicycle,12,0.0,678170.2100972207,5405283.104728181,678170.2100972207,5405283.104728181
2,transporter,13,0.0,678155.810856868,5405299.640195084,678156.307108007,5405300.345008042
2,bicycle,14,0.0,678171.076857945,5405318.436178095,678171.076857945,5405318.436178095
2,person,15,0.0,678192.1698244794,5405293.134325925,678192.1698244794,5405293.134325925
3,car,1,0.0,678162.4738077226,5405321.702088224,678162.9342309054,5405322.952490671
3,car,2,0.0,678159.8254750185,5405288.345697176,678159.9602095925,5405288.4731164435
3,car,3,0.0,678177.27284519,5405295.244285811,678177.4825769886,5405295.430349554
3,car,4,0.0,678145.7569629188,5405299.587943481,678146.1669041015,5405300.082381879
3,car,6,0.0,678162.000346966,5405328.7704610545,678162.4853516495,5405330.200802699
3,car,8,0.0,678158.4075057565,5405291.364003338,678158.6294507624,5405291.60809234
3,car,9,0.0,678183.9299325293,5405312.03850488,678184.701186456,5405312.672233426
3,car,10,0.0,678175.0171120143,5405298.180029127,678175.3455649222,5405298.393746761
3,car,11,0.0,678198.8519129255,5405310.251985364,678198.7490533825,5405310.160380313
3,bicycle,12,0.0,678170.1664051511,5405283.084026078,678170.1664051511,5405283.084026078
3,car,13,0.0,678155.4388506296,5405299.460487168,678155.9475545557,5405300.237963649
3,bicycle,14,0.0,678171.0586375566,5405318.472726988,678171.0586375566,5405318.472726988
3,bicycle,15,0.0,678192.2494667716,5405293.171708412,678192.2494667716,5405293.171708412
3,bicycle,17,0.0,678169.7089408807,5405283.609449865,678169.7089408807,5405283.609449865
4,car,1,0.0,678162.4738077226,5405321.702088224,678162.9342309054,5405322.952490671
4,car,2,0.0,678160.1393423195,5405288.453677032,678160.2884896137,5405288.563222945
4,car,3,0.0,678177.5672863844,5405295.337497004,678177.7924084918,5405295.5764095215
4,car,4,0.0,678145.4287508441,5405299.466762664,678145.834974874,5405299.954641581
4,car,6,0.0,678162.000346966,5405328.7704610545,678162.4853516495,5405330.200802699
4,car,8,0.0,678158.7463330866,5405291.490376594,678158.9561289211,5405291.715374011
4,car,9,0.0,678183.6361393317,5405311.831036786,678184.2775922694,5405312.451473967
4,car,10,0.0,678175.7170901042,5405298.551458981,678175.6793980496,5405298.490420475
4,car,11,0.0,678199.2140438401,5405310.449398778,678199.1723568897,5405310.370223252
4,bicycle,12,0.0,678170.0792037238,5405283.042708443,678170.0792037238,5405283.042708443
4,car,13,0.0,678155.1308490606,5405299.285742754,678155.5397865204,5405300.041734994
4,bicycle,14,0.0,678171.1365183798,5405318.497272044,678171.1365183798,5405318.497272044
4,bicycle,15,0.0,678192.4092022632,5405293.246685032,678192.4092022632,5405293.246685032
4,bicycle,17,0.0,678169.6224011333,5405283.567411483,678169.6224011333,5405283.567411483
5,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
5,car,2,0.0,678160.3935358789,5405288.546169341,678160.641432453,5405288.700925711
5,car,3,0.0,678177.937709871,5405295.514133675,678178.1644388272,5405295.759444958
5,car,4,0.0,678145.0955690949,5405299.325908296,678145.483655795,5405299.800024377
5,car,6,0.0,678162.000346966,5405328.7704610545,678162.4853516495,5405330.200802699
5,car,8,0.0,678159.0218201642,5405291.611572985,678159.2033034601,5405291.796546557
5,car,9,0.0,678183.3305555794,5405311.683578554,678183.8580528228,5405312.232827669
5,car,10,0.0,678175.9999175563,5405298.675057719,678175.9838982191,5405298.650178753
5,car,11,0.0,678199.6417594423,5405310.661826699,678199.5811365768,5405310.624370807
5,bicycle,12,0.0,678170.0492831299,5405282.997665776,678170.0492831299,5405282.997665776
5,car,13,0.0,678154.7361476177,5405299.173703659,678155.1555125399,5405299.905441384
5,bicycle,14,0.0,678171.1182869432,5405318.533861524,678171.1182869432,5405318.533861524
5,bicycle,15,0.0,678192.4092022632,5405293.246685032,678192.4092022632,5405293.246685032
5,bicycle,17,0.0,678169.5361022453,5405283.525490103,678169.5361022453,5405283.525490103
6,car,1,0.0,678162.4738077226,5405321.702088224,678162.9842727104,5405323.01536183
6,car,2,0.0,678159.9574821371,5405288.387886411,678160.9277867473,5405288.793373734
6,car,3,0.0,678177.419700653,5405295.285153733,678178.4957378306,5405295.877231413
6,car,4,0.0,678145.4702136412,5405299.453598177,678145.1004763974,5405299.64167261
6,car,6,0.0,678162.000346966,5405328.7704610545,678162.4853516495,5405330.200802699
6,car,8,0.0,678158.4812785448,5405291.391582991,678159.4871254801,5405291.9041120345
6,car,9,0.0,678183.9145463993,5405312.0166601315,678183.5181045488,5405312.0746526355
6,car,10,0.0,678175.7382038373,5405298.3657820225,678176.2485472466,5405298.74140977
6,car,11,0.0,678199.26605857,5405310.371779447,678199.9935825717,5405310.880797788
6,bicycle,12,0.0,678170.0058279041,5405282.977097374,678170.0058279041,5405282.977097374
6,car,13,0.0,678155.2988140128,5405299.362532264,678154.7288623032,5405299.764247216
6,bicycle,14,0.0,678171.1000517898,5405318.570458463,678171.1000517898,5405318.570458463
6,bicycle,15,0.0,678192.5695418062,5405293.321945181,678192.5695418062,5405293.321945181
6,bicycle,17,0.0,678169.4930428094,5405283.504573137,678169.4930428094,5405283.504573137
7,car,1,0.8658206658452097,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
7,car,2,39.1156891881098,678160.2929746163,5405288.54146805,678161.2744087587,5405288.957578953
7,car,3,40.34475046407652,678177.8122712402,5405295.449762905,678178.8139101472,5405296.027095132
7,car,4,42.477889830851666,678145.1396562359,5405299.365848964,678144.7448041367,5405299.513194074
7,car,6,0.9222010402260755,678162.000346966,5405328.7704610545,678162.4853516495,5405330.200802699
7,car,8,31.69136971727319,678158.7610097134,5405291.492210925,678159.7383833817,5405291.986680412
7,car,9,44.98718908965563,678183.5229417484,5405311.839952817,678183.1627463571,5405311.955613921
7,car,10,38.63608607385546,678176.0753412405,5405298.505947072,678176.6166037495,5405298.942250062
7,bicycle,12,6.2338375690409595,678169.9624331212,5405282.956557581,678169.9624331212,5405282.956557581
7,car,13,44.8181662399804,678154.925472373,5405299.263626999,678154.3682319787,5405299.606067967
7,bicycle,14,3.692662376466282,678171.0818129184,5405318.607062864,678171.0818129184,5405318.607062864
7,bicycle,15,11.486523844094107,678192.666081743,5405293.325434353,678192.666081743,5405293.325434353
7,bicycle,17,0.0,678169.4500432124,5405283.483685237,678169.4500432124,5405283.483685237
8,car,1,1.58980061440758,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
8,car,2,35.976126060380004,678160.5990220417,5405288.6164934635,678161.530502753,5405289.028340848
8,car,3,40.705987908191844,678178.1198918733,5405295.578669042,678179.1960640708,5405296.214849237
8,car,4,39.735988116710054,678144.8111612673,5405299.226938294,678144.4509396374,5405299.419282258
8,car,6,0.0,678162.0094042418,5405328.754725825,678162.4853516495,5405330.200802699
8,car,8,32.88441006393202,678159.1021738866,5405291.602900348,678160.0624610917,5405292.122158011
8,car,9,46.621397134236915,678182.9952941863,5405311.581606455,678182.7535547246,5405311.741957858
8,car,10,36.032814073556324,678175.8684206884,5405298.536275135,678176.8855002258,5405299.035185181
8,bicycle,12,6.225092498065801,678169.9190986552,5405282.936046339,678169.9190986552,5405282.936046339
8,car,13,46.11377255376454,678154.5568389848,5405299.068618411,678153.9659819596,5405299.4435111815
8,bicycle,14,0.882296831831678,678171.0404134571,5405318.509283325,678171.0404134571,5405318.509283325
8,bicycle,15,11.507979357204768,678192.7466384252,5405293.363206425,678192.7466384252,5405293.363206425
8,bicycle,17,7.2482199165638646,678169.4071033294,5405283.462826346,678169.4071033294,5405283.462826346
9,car,1,1.58980061440758,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
9,car,2,36.149297268187794,678160.8954092999,5405288.7428664975,678161.8476043715,5405289.17152092
9,car,3,41.0820262079623,678178.474971394,5405295.745670908,678179.5360496442,5405296.336088939
9,car,4,40.69244956377686,678144.4499795281,5405299.098138487,678144.0813449601,5405299.266239162
9,car,6,0.9222010402260755,678161.9994666021,5405328.77613958,678162.5046240953,5405330.162705553
9,car,8,32.196014290652585,678159.384260926,5405291.73747081,678160.354044479,5405292.232664963
9,car,9,44.23257026385744,678182.6689965136,5405311.473532962,678182.4039240195,5405311.625114938
9,car,10,36.275124308491726,678176.6924270246,5405298.784367897,678177.2160201843,5405299.168055985
9,bicycle,12,5.180802758612654,678169.8758243803,5405282.915563585,678169.8758243803,5405282.915563585
9,car,13,45.52679719878065,678154.0107037998,5405298.538569493,678153.5830963606,5405299.258245341
9,bicycle,14,2.092016259834948,678171.0404134571,5405318.509283325,678171.0404134571,5405318.509283325
9,bicycle,15,9.62774542492481,678192.8273478404,5405293.40105011,678192.8273478404,5405293.40105011
9,bicycle,17,6.199797270956779,678169.3642230361,5405283.441996401,678169.3642230361,5405283.441996401
10,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
10,car,2,35.63760828485689,678161.2429196497,5405288.842214095,678162.1817836767,5405289.292070971
10,car,3,39.93579840896401,678178.878386934,5405295.914822631,678179.862902043,5405296.4899094105
10,car,4,39.55383427454444,678144.1191587201,5405298.974918356,678143.7726579247,5405299.147517525
10,car,6,0.9222010402260755,678161.9994666021,5405328.77613958,678162.5046240953,5405330.162705553
10,car,8,32.44474488528011,678159.605463588,5405291.801382237,678160.6120926217,5405292.31763384
10,car,9,43.85455358230224,678182.3717592263,5405311.35637941,678181.9838249226,5405311.452185817
10,car,10,36.62651762916647,678176.970161211,5405298.905406885,678177.5492734489,5405299.302025593
10,bicycle,12,5.177921860327796,678169.8326101714,5405282.895109262,678169.8326101714,5405282.895109262
10,car,13,44.925015694440305,678153.720055202,5405298.608755453,678153.2355099552,5405299.105806881
10,bicycle,14,5.217914215604241,678170.9032665561,5405318.423759991,678170.9032665561,5405318.423759991
10,bicycle,15,11.551072665015008,678192.9082104233,5405293.438965615,678192.9082104233,5405293.438965615
10,bicycle,17,4.127446378790847,678169.3642230361,5405283.441996401,678169.3642230361,5405283.441996401
11,car,1,0.8658206658452097,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
11,car,2,35.959900949790274,678161.545577022,5405288.97103689,678162.4822130506,5405289.389487789
11,car,3,40.228391447646366,678179.1395986592,5405296.063039449,678180.1925302824,5405296.645036225
11,car,4,38.51024844004046,678143.8270032442,5405298.866261436,678143.41983479,5405299.046599877
11,car,6,0.9222010402260755,678161.9994666021,5405328.77613958,678162.5046240953,5405330.162705553
11,car,8,31.910105695646834,678159.9346351632,5405291.900114102,678160.886193229,5405292.378541117
11,car,9,43.52974146998495,678182.020496361,5405311.161215078,678181.6576399087,5405311.300076879
11,car,10,36.817657918905674,678176.7428364207,5405298.88112917,678177.8081512229,5405299.42918005
11,bicycle,12,6.200575404406419,678169.7463614516,5405282.854285672,678169.7463614516,5405282.854285672
11,car,13,44.284681348576555,678153.4386975083,5405298.702489458,678152.8475736321,5405298.9492984
11,bicycle,14,5.218470531277807,678170.8850571337,5405318.460250222,678170.8850571337,5405318.460250222
11,bicycle,15,9.663744479121577,678192.9892266105,5405293.476953142,678192.9892266105,5405293.476953142
11,bicycle,17,4.121716520598306,678169.3214022086,5405283.421195343,678169.3214022086,5405283.421195343
12,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
12,car,2,35.43225900145131,678161.8651741473,5405289.077454056,678162.8091473075,5405289.536743764
12,car,3,40.567806148594144,678179.5252434472,5405296.209958297,678180.5249698749,5405296.8014860945
12,car,4,38.56205799922789,678143.4454294357,5405298.7159482185,678143.0766587986,5405298.877177201
12,car,6,0.9222010402260755,678162.0094042418,5405328.754725825,678162.5046240953,5405330.162705553
12,car,8,32.04729785913206,678160.175274763,5405292.003775528,678161.1342312099,5405292.489561175
12,car,9,45.110703744830026,678181.5285030771,5405310.96795243,678181.2443879812,5405311.130047403
12,car,10,35.62378492968454,678177.124762561,5405299.0997155495,678178.1301585373,5405299.597364682
12,bicycle,12,6.19197178112399,678169.7033266919,5405282.833916287,678169.7033266919,5405282.833916287
12,car,13,44.963053854199806,678153.0754913108,5405298.683763164,678152.4220167294,5405298.867555983
12,person,14,5.283109761088319,678170.8486271789,5405318.533252949,678170.8486271789,5405318.533252949
12,bicycle,15,9.645572385892768,678193.0703968399,5405293.5150128985,678193.0703968399,5405293.5150128985
12,bicycle,17,4.115998587926496,678169.2786407234,5405283.400423111,678169.2786407234,5405283.400423111
13,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
13,car,2,36.76112505590285,678162.1836774733,5405289.202221229,678163.1292914376,5405289.6117375875
13,car,3,39.37905199690504,678179.8527658125,5405296.359394156,678180.8602569407,5405296.959276018
13,car,4,40.229181607133285,678143.1153826972,5405298.60084255,678142.7118391843,5405298.752727886
13,car,6,0.9222010402260755,678162.0094042418,5405328.754725825,678162.5046240953,5405330.162705553
13,car,8,31.324730661631303,678160.4870418503,5405292.115672195,678161.4214051937,5405292.628523601
13,car,9,44.69409826036576,678181.1730740491,5405310.776083922,678180.852627858,5405310.924677877
13,car,10,37.40369247040944,678177.9171180509,5405299.355919357,678178.4549216973,5405299.766988693
13,bicycle,12,6.183386060218915,678169.6603515001,5405282.813575097,678169.6603515001,5405282.813575097
13,car,13,44.510335848944024,678152.6944466152,5405298.495456344,678152.0296651243,5405298.738520413
13,bicycle,14,5.815921805545362,678170.7711583826,5405318.508731872,678170.7711583826,5405318.508731872
13,bicycle,15,9.663894927722218,678193.1517215514,5405293.553145089,678193.1517215514,5405293.553145089
13,bicycle,17,3.084855468776277,678169.2786407234,5405283.400423111,678169.2786407234,5405283.400423111
14,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
14,car,2,37.14627917112991,678162.5053533597,5405289.32818079,678163.4629216499,5405289.76163876
14,car,3,41.32726560707474,678180.2404567413,5405296.502560476,678181.2792910695,5405297.12464691
14,car,4,39.102635848105365,678142.8086755248,5405298.50059816,678142.3847576886,5405298.634729982
14,car,6,0.9220114918357816,678162.0094042418,5405328.754725825,678162.5238925801,5405330.124616237
14,car,8,30.757283594075698,678160.705750063,5405292.1888041925,678161.7020776973,5405292.691397178
14,car,9,46.23884882861022,678180.8472644817,5405310.63972404,678180.446767587,5405310.757888648
14,car,10,37.71772761142797,678178.2258501151,5405299.494641913,678178.7987843641,5405299.905647257
14,bicycle,12,6.174818174476386,678169.617435753,5405282.793262044,678169.617435753,5405282.793262044
14,transporter,13,44.76588240114244,678152.1930160508,5405298.245194454,678151.641377269,5405298.533703656
14,bicycle,14,8.775157128661442,678170.652994384,5405318.387007264,678170.652994384,5405318.387007264
14,bicycle,15,9.716946675910634,678193.2170095418,5405293.625853484,678193.2170095418,5405293.625853484
14,bicycle,17,4.182132207333374,678169.1797294031,5405283.383261983,678169.1797294031,5405283.383261983
15,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
15,car,2,37.537281580661094,678162.8015526035,5405289.443230532,678163.8141162992,5405289.888366226
15,car,3,41.68071616697354,678180.5961413663,5405296.667399853,678181.6210022898,5405297.285322503
15,car,4,38.78945357475685,678142.4433384,5405298.354715768,678142.0812922571,5405298.544020482
15,car,6,0.9220114918357816,678162.0094042418,5405328.754725825,678162.5238925801,5405330.124616237
15,car,8,30.99884590994626,678160.9961490165,5405292.270031448,678161.9707307983,5405292.779916719
15,car,9,45.818966851329634,678180.4498862689,5405310.429703602,678180.0445469818,5405310.592595147
15,car,10,36.407678843731816,678178.4972150107,5405299.607837472,678179.0661605237,5405300.0369412415
15,bicycle,12,5.142110636322342,678169.617435753,5405282.793262044,678169.617435753,5405282.793262044
15,transporter,13,45.16955296245522,678151.828288478,5405298.161144061,678151.2726577941,5405298.38451792
15,bicycle,14,7.193210308129215,678170.5758979679,5405318.362674322,678170.5758979679,5405318.362674322
15,bicycle,15,9.700696991584886,678193.314836188,5405293.629627604,678193.314836188,5405293.629627604
15,bicycle,17,4.182132207333374,678169.1797294031,5405283.383261983,678169.1797294031,5405283.383261983
16,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
16,car,2,37.78954083709164,678163.1753662805,5405289.592735069,678164.1157285696,5405290.01593213
16,car,3,42.038727022525684,678180.9412750704,5405296.84062759,678181.9656808393,5405297.447393361
16,car,4,38.919514286763004,678142.1113212018,5405298.224778998,678141.7290545153,5405298.423822932
16,car,6,0.9220114918357816,678162.0094042418,5405328.754725825,678162.5238925801,5405330.124616237
16,car,8,32.02220365423405,678161.2549542487,5405292.370212611,678162.2654960648,5405292.922009508
16,car,9,47.324055526432325,678180.2104937311,5405310.395993434,678179.6635527627,5405310.392451333
16,car,10,36.65615609250783,678178.8105056311,5405299.748557406,678179.3353774102,5405300.169139107
16,bicycle,12,4.108749213786544,678169.5880985738,5405282.748756241,678169.5880985738,5405282.748756241
16,transporter,13,44.622028008845135,678151.465830642,5405297.981460972,678150.9083764164,5405298.237127861
16,bicycle,14,8.745895858741095,678170.498929932,5405318.338381899,678170.498929932,5405318.338381899
16,bicycle,15,9.754255911967002,678193.3804213599,5405293.702555697,678193.3804213599,5405293.702555697
16,bicycle,17,4.176501553991718,678169.1371513946,5405283.36255752,678169.1371513946,5405283.36255752
17,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
17,car,2,38.28745721042157,678163.4550893658,5405289.690401013,678164.473974408,5405290.145304474
17,car,3,40.742026832744344,678181.2222939581,5405297.002949074,678182.2468263668,5405297.571537599
17,car,6,0.9220114918357816,678162.0094042418,5405328.754725825,678162.5238925801,5405330.124616237
17,car,8,32.370012519717115,678161.5369867797,5405292.506589947,678162.538745966,5405293.01222292
17,car,9,45.053272795550576,678179.7184128657,5405310.13688579,678179.3542132885,5405310.248117769
17,car,10,36.989300787498046,678179.1490981532,5405299.903274387,678179.6868193194,5405300.311054103
17,bicycle,12,3.0948927885303887,678169.5880985738,5405282.748756241,678169.5880985738,5405282.748756241
17,transporter,13,45.45223879455345,678151.0569483769,5405297.7816357855,678150.4797500467,5405298.057893282
17,bicycle,14,8.730264489281941,678170.5171026462,5405318.302055897,678170.5171026462,5405318.302055897
17,bicycle,15,9.772990870228146,678193.4623614368,5405293.741016718,678193.4623614368,5405293.741016718
17,bicycle,17,4.170882507972349,678169.0946322333,5405283.341881673,678169.0946322333,5405283.341881673
18,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
18,car,2,38.46495453919441,678163.809115152,5405289.797639295,678164.781792814,5405290.275389737
18,car,3,42.7687466180359,678181.5415644643,5405297.14595362,678182.6640958854,5405297.775794201
18,car,6,0.9220114918357816,678162.0094042418,5405328.754725825,678162.5238925801,5405330.124616237
18,car,8,32.77586955481859,678161.8522633563,5405292.630300113,678162.8531437935,5405293.131148207
18,car,9,42.86443286085712,678179.3655367449,5405310.042669607,678179.0295202173,5405310.140855308
18,car,10,37.307553896269276,678179.4595088558,5405300.062140157,678180.0248200127,5405300.487158492
18,bicycle,12,3.0905923413118637,678169.545295214,5405282.72851753,678169.545295214,5405282.72851753
18,car,13,44.904878846319015,678150.7178249168,5405297.566805935,678150.1111751257,5405297.937680661
18,bicycle,14,6.936507743501198,678170.498929932,5405318.338381899,678170.498929932,5405318.338381899
18,bicycle,15,7.841510660042255,678193.4623614368,5405293.741016718,678193.4623614368,5405293.741016718
18,bicycle,17,5.182156005707392,678169.0521717968,5405283.321234382,678169.0521717968,5405283.321234382
19,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
19,car,2,37.9455763594399,678164.1208315558,5405289.913627443,678165.106704793,5405290.381405783
19,car,3,41.498616658306084,678181.8809823517,5405297.326821521,678183.0179120767,5405297.942161657
19,car,6,0.0,678162.0094042418,5405328.754725825,678162.5238925801,5405330.124616237
19,car,8,32.9343991515422,678162.0788294678,5405292.677175168,678163.1311477321,5405293.222991988
19,car,9,42.48218097882771,678178.892418734,5405309.754655212,678178.6399748446,5405309.980923444
19,car,10,35.96829072101439,678179.7476492312,5405300.162111096,678180.3171175359,5405300.5894241985
19,bicycle,12,3.08630088278105,678169.5025509341,5405282.708306752,678169.5025509341,5405282.708306752
19,car,13,43.640047223928676,678150.309390811,5405297.426988218,678149.7606155028,5405297.7957060635
19,bicycle,14,5.164891495210768,678170.4402553262,5405318.277836561,678170.4402553262,5405318.277836561
19,bicycle,15,7.813280295215434,678193.5444582226,5405293.779551294,678193.5444582226,5405293.779551294
19,bicycle,17,4.082150720730597,678169.0097699639,5405283.300615587,678169.0097699639,5405283.300615587
20,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
20,car,2,38.35580406773986,678164.4522278054,5405290.053898931,678165.4757176886,5405290.514707815
20,car,3,40.1553965881661,678182.1732385468,5405297.438582726,678183.3064766241,5405298.0696877325
20,car,6,0.0,678162.0094042418,5405328.754725825,678162.5238925801,5405330.124616237
20,car,8,32.18436520284934,678162.3725348811,5405292.798655787,678163.3717243745,5405293.28723061
20,car,9,43.87544487258319,678178.5033919374,5405309.600579778,678178.1875281914,5405309.769466089
20,car,10,36.21673135564235,678180.0294164103,5405300.279746861,678180.5949033938,5405300.725613798
20,bicycle,12,4.181440009066901,678169.4733644556,5405282.6639612885,678169.4733644556,5405282.6639612885
20,car,13,44.80189659916674,678149.9115516249,5405297.210371502,678149.3344549139,5405297.645926627
20,bicycle,14,3.4837971756253494,678170.422089956,5405318.314129893,678170.422089956,5405318.314129893
20,bicycle,15,5.923419142188295,678193.5444582226,5405293.779551294,678193.5444582226,5405293.779551294
21,car,1,0.0,678162.4738077226,5405321.702088224,678163.0026113202,5405322.9797185175
21,car,2,38.72061651671091,678164.7914560419,5405290.177526372,678165.7930176953,5405290.648539213
21,car,3,40.508395493578945,678182.973376221,5405297.7625720985,678183.6659583035,5405298.23868297
