frame_id,class_id,track_id,coordinate_world_x,coordinate_world_y
2,car,1,678162.2815747333,5405325.226275107
2,car,2,678158.3494393454,5405330.4486519545
2,car,3,678158.6251878715,5405323.568120648
2,car,4,678161.4814314342,5405333.269046877
2,car,5,678196.5823269859,5405308.311839404
2,car,6,678178.7562561706,5405310.028244216
2,cyclist,7,678192.903547645,5405297.408274854
2,transporter,8,678159.3885575682,5405304.856717624
2,truck,9,678150.4005640061,5405300.940070681
3,car,1,678162.2815747333,5405325.226275107
3,car,2,678158.3523506955,5405330.432644427
3,car,3,678158.6251878715,5405323.568120648
3,car,4,678161.4814314342,5405333.269046877
3,car,5,678196.9824780873,5405308.564396043
3,car,6,678178.2772937762,5405309.745191174
3,cyclist,7,678192.903547645,5405297.408274854
3,transporter,8,678158.9410625696,5405304.598815158
3,truck,9,678149.8855278856,5405300.745421877
4,car,1,678162.2815747333,5405325.226275107
4,car,2,678158.3523506955,5405330.432644427
4,car,3,678158.6251878715,5405323.568120648
4,car,4,678161.4814314342,5405333.269046877
4,car,5,678197.3561204878,5405308.745860716
4,car,6,678177.8333931082,5405309.620358836
4,cyclist,7,678192.903547645,5405297.408274854
4,transporter,8,678158.427618037,5405304.33506566
4,truck,9,678149.482946023,5405300.585955458
5,car,1,678162.2815747333,5405325.226275107
5,car,2,678158.3523506955,5405330.432644427
5,car,3,678158.6251878715,5405323.568120648
5,car,4,678161.4814314342,5405333.269046877
5,car,5,678197.8295205297,5405308.989745324
5,car,6,678177.3103384471,5405309.380039487
5,cyclist,7,678192.903547645,5405297.408274854
5,transporter,8,678158.0306639395,5405304.196823461
5,transporter,9,678149.2115477067,5405300.188102445
6,car,1,678162.2815747333,5405325.226275107
6,car,2,678158.3523506955,5405330.432644427
6,car,3,678158.6251878715,5405323.568120648
6,car,4,678161.4814314342,5405333.269046877
6,car,5,678198.1865283547,5405309.214635111
6,car,6,678176.9126288624,5405309.185851179
6,cyclist,7,678192.903547645,5405297.408274854
6,transporter,8,678157.7407951276,5405304.038846585
6,truck,9,678148.7373681667,5405300.230615389
7,car,1,678162.2815747333,5405325.226275107
7,car,2,678158.3429244643,5405330.448488805
7,car,3,678158.6251878715,5405323.568120648
7,car,4,678161.4814314342,5405333.269046877
7,car,5,678198.5697410387,5405309.401003098
7,car,6,678176.5085141951,5405309.0472755805
7,cyclist,7,678192.903547645,5405297.408274854
7,transporter,8,678157.1266973363,5405303.787944432
7,truck,9,678148.1634686401,5405299.889566269
8,car,1,678162.2815747333,5405325.226275107
8,car,2,678158.3429244643,5405330.448488805
8,car,3,678158.6251878715,5405323.568120648
8,car,4,678161.4814314342,5405333.269046877
8,car,5,678198.950485421,5405309.5853882525
8,car,6,678176.1238257571,5405308.893691567
8,cyclist,7,678193.0205534112,5405296.668241497
8,transporter,8,678156.8072557963,5405303.641109547
8,truck,9,678147.761335549,5405299.797692733
9,car,1,678162.2815747333,5405325.226275107
9,car,2,678158.3523506955,5405330.432644427
9,car,3,678158.6251878715,5405323.568120648
9,car,4,678161.4814314342,5405333.269046877
9,car,5,678199.2162213887,5405309.752458485
9,car,6,678175.612635697,5405308.638487035
9,cyclist,7,678193.051527014,5405296.706905421
9,transporter,8,678156.2906969057,5405303.437996881
9,truck,9,678147.420911038,5405299.642405111
10,car,1,678162.2815747333,5405325.226275107
10,car,2,678158.3272953813,5405330.4039617665
10,car,3,678158.6251878715,5405323.568120648
10,car,4,678161.4814314342,5405333.269046877
10,car,5,678199.6021020376,5405309.939479984
10,car,6,678175.084044047,5405308.404629269
10,cyclist,7,678192.8620047926,5405297.386749627
10,transporter,8,678155.7350441506,5405303.122039132
10,truck,9,678147.0212545694,5405299.489203932
11,car,1,678162.2815747333,5405325.226275107
11,car,2,678158.3494393454,5405330.4486519545
11,car,3,678158.6251878715,5405323.568120648
11,car,4,678161.4814314342,5405333.269046877
11,car,5,678199.9730903145,5405310.172496716
11,car,6,678174.6814911105,5405308.2121680565
11,cyclist,7,678192.8620047926,5405297.386749627
11,transporter,8,678155.4318845151,5405303.056716151
11,truck,9,678146.5814688846,5405299.341948561
12,car,1,678162.2815747333,5405325.226275107
12,car,2,678158.3324729723,5405330.471162656
12,car,3,678158.6152199403,5405323.589250851
12,car,4,678161.4814314342,5405333.269046877
12,car,5,678200.4609923172,5405310.478946642
12,car,6,678174.2664862408,5405308.05613513
12,cyclist,7,678192.817022895,5405297.363442475
12,transporter,8,678154.893313463,5405302.797407783
12,truck,9,678146.1212896243,5405299.127237198
13,car,1,678162.2815747333,5405325.226275107
13,car,2,678158.3324729723,5405330.471162656
13,car,3,678158.6152199403,5405323.589250851
13,car,4,678161.4814314342,5405333.269046877
13,car,5,678200.9145734082,5405310.707492195
13,car,6,678173.8554719586,5405307.901528053
13,cyclist,7,678192.817022895,5405297.363442475
13,transporter,8,678153.7374825549,5405302.080102917
13,truck,9,678145.5601204336,5405298.672544394
14,car,1,678162.2815747333,5405325.226275107
14,car,2,678158.3324729723,5405330.471162656
14,car,3,678158.6152199403,5405323.589250851
14,car,4,678161.4814314342,5405333.269046877
14,car,5,678201.3142388042,5405310.901724205
14,car,6,678173.323208367,5405307.614400072
14,cyclist,7,678192.7755629763,5405297.34196022
14,transporter,8,678153.2780418438,5405301.96300707
14,truck,9,678145.1410110402,5405298.2475337945
15,car,1,678162.2815747333,5405325.226275107
15,car,2,678158.3324729723,5405330.471162656
15,car,3,678158.6152199403,5405323.589250851
15,car,4,678161.4814314342,5405333.269046877
15,car,5,678201.757629956,5405311.179676297
15,car,6,678172.9184967207,5405307.482781783
15,cyclist,7,678192.7755629763,5405297.34196022
15,transporter,8,678152.8999215399,5405301.830506299
15,truck,9,678144.9127448632,5405298.651858451
16,car,1,678162.2815747333,5405325.226275107
16,car,2,678158.3324729723,5405330.471162656
16,car,3,678158.6152199403,5405323.589250851
16,car,4,678161.4814314342,5405333.269046877
16,car,5,678202.1052784089,5405311.3406128725
16,car,6,678172.443649539,5405307.264946096
16,cyclist,7,678192.7755629763,5405297.34196022
16,transporter,8,678152.4592862753,5405301.717807943
16,truck,9,678144.4293468574,5405298.417609941
17,car,1,678162.2815747333,5405325.226275107
17,car,2,678158.3324729723,5405330.471162656
17,car,3,678158.6152199403,5405323.589250851
17,car,4,678161.4814314342,5405333.269046877
17,car,5,678202.4842995609,5405311.635209377
17,car,6,678172.0033768008,5405307.073719118
17,cyclist,7,678192.7755629763,5405297.34196022
17,transporter,8,678152.1035009179,5405301.490343635
17,truck,9,678143.9046164856,5405298.2688113
18,car,1,678162.2815747333,5405325.226275107
18,car,2,678158.3324729723,5405330.471162656
18,car,3,678158.6152199403,5405323.589250851
18,car,4,678161.4814314342,5405333.269046877
18,car,5,678202.7831557156,5405311.765146248
18,car,6,678171.5679491088,5405306.8845826825
18,cyclist,7,678192.7755629763,5405297.34196022
18,transporter,8,678151.7543279877,5405301.3787391875
18,truck,9,678143.4095472533,5405297.592217831
19,car,1,678162.2815747333,5405325.226275107
19,car,2,678158.3324729723,5405330.471162656
19,car,3,678158.6152199403,5405323.589250851
19,car,4,678161.4814314342,5405333.269046877
19,car,5,678203.2405602314,5405312.051604402
19,car,6,678171.1251722951,5405306.693498632
19,cyclist,7,678192.7755629763,5405297.34196022
19,transporter,8,678151.7543279877,5405301.3787391875
19,truck,9,678142.9464655216,5405297.352472406
20,car,1,678162.2815747333,5405325.226275107
20,car,2,678158.3074242154,5405330.4424519185
20,car,3,678158.6152199403,5405323.589250851
20,car,4,678161.4814314342,5405333.269046877
20,car,5,678203.5383250313,5405312.180254925
20,car,6,678170.6872384199,5405306.504428258
20,cyclist,7,678192.7755629763,5405297.34196022
20,transporter,8,678150.6577860995,5405300.854619683
20,truck,9,678142.6988498692,5405297.823234268
21,car,1,678162.2815747333,5405325.226275107
21,car,2,678158.3074242154,5405330.4424519185
21,car,3,678158.6152199403,5405323.589250851
21,car,4,678161.4814314342,5405333.269046877
21,car,5,678202.383593007,5405311.521190913
21,car,6,678170.1800473048,5405306.2708504805
21,cyclist,7,678192.7755629763,5405297.34196022
21,transporter,8,678150.6577860995,5405300.854619683
21,truck,9,678144.8368318842,5405298.140625788
22,car,1,678162.2815747333,5405325.226275107
22,car,2,678158.3074242154,5405330.4424519185
22,car,3,678158.6152199403,5405323.589250851
22,car,4,678161.4814314342,5405333.269046877
22,car,5,678202.7366571277,5405311.680477274
22,car,6,678169.764368477,5405306.090360425
22,cyclist,7,678192.7755629763,5405297.34196022
22,truck,9,678141.9926521201,5405297.341150198
23,car,1,678162.2815747333,5405325.226275107
23,car,2,678158.3074242154,5405330.4424519185
23,car,3,678158.6152199403,5405323.589250851
23,car,4,678161.4814314342,5405333.269046877
23,car,5,678203.0737553642,5405311.88608494
23,car,6,678169.3301606604,5405305.903381792
23,cyclist,7,678192.7755629763,5405297.34196022
23,transporter,8,678149.511354399,5405300.37006838
23,truck,9,678141.9926521201,5405297.341150198
24,car,1,678162.2815747333,5405325.226275107
24,car,2,678158.3168251261,5405330.426532497
24,car,3,678158.6152199403,5405323.589250851
24,car,4,678161.4814314342,5405333.269046877
24,car,5,678203.0737553642,5405311.88608494
24,car,6,678168.8518126772,5405305.682194756
24,cyclist,7,678192.817022895,5405297.363442475
24,transporter,8,678149.511354399,5405300.37006838
25,car,1,678162.2815747333,5405325.226275107
25,car,2,678158.3168251261,5405330.426532497
25,car,3,678158.6152199403,5405323.589250851
25,car,4,678161.4814314342,5405333.269046877
25,car,6,678168.380532616,5405305.527638096
25,cyclist,7,678192.7755629763,5405297.34196022
25,car,11,678200.727123989,5405317.438162768
26,car,1,678162.2815747333,5405325.226275107
26,car,2,678158.3074242154,5405330.4424519185
26,car,3,678158.6152199403,5405323.589250851
26,car,4,678161.4814314342,5405333.269046877
26,car,6,678167.9340751953,5405305.293400177
26,cyclist,7,678192.7755629763,5405297.34196022
26,car,11,678200.4292065725,5405317.28985972
27,car,1,678162.2815747333,5405325.226275107
27,car,2,678158.3324729723,5405330.471162656
27,car,3,678158.6152199403,5405323.589250851
27,car,4,678161.4814314342,5405333.269046877
27,car,6,678167.5301685655,5405305.087867886
27,cyclist,7,678192.8620047926,5405297.386749627
27,car,11,678200.0735615819,5405317.100616382
27,truck,12,678140.427478022,5405296.901831
