frame_id,class_id,track_id,coordinate_world_x,coordinate_world_y
2,car,1,678194.4672006874,5405316.78696655
2,car,2,678161.9488621831,5405327.629032277
2,car,3,678148.0129593227,5405287.657959739
2,car,4,678148.7355633338,5405284.218244007
2,car,5,678192.248768887,5405320.096043369
2,car,6,678160.6662755817,5405336.297990773
2,car,7,678158.6647960392,5405326.177537175
2,car,8,678165.9949193466,5405340.694152141
2,cyclist,9,678147.1364049525,5405309.002859825
2,car,10,678161.8595775027,5405346.222615797
2,car,11,678199.244893831,5405318.922417083
2,truck,12,678191.2427354503,5405327.786032586
2,car,13,678198.0619757891,5405322.162380731
3,car,1,678194.4672006874,5405316.78696655
3,car,2,678161.9488621831,5405327.629032277
3,car,3,678148.0129593227,5405287.657959739
3,car,4,678148.7468828852,5405284.215856344
3,car,5,678192.248768887,5405320.096043369
3,car,6,678160.6662755817,5405336.297990773
3,car,7,678158.6647960392,5405326.177537175
3,car,8,678166.0573089111,5405341.296617288
3,cyclist,9,678147.1852379947,5405309.019320357
3,car,10,678161.8595775027,5405346.222615797
3,car,11,678199.244893831,5405318.922417083
3,truck,12,678191.2427354503,5405327.786032586
3,car,13,678198.0619757891,5405322.162380731
4,car,1,678194.4672006874,5405316.78696655
4,car,2,678161.9488621831,5405327.629032277
4,car,3,678148.0129593227,5405287.657959739
4,car,4,678148.7355633338,5405284.218244007
4,car,5,678192.248768887,5405320.096043369
4,car,6,678160.6662755817,5405336.297990773
4,car,7,678158.6546702785,5405326.199224489
4,car,8,678165.8683073171,5405341.637372081
4,cyclist,9,678147.263896385,5405309.056782011
4,car,10,678161.8631514714,5405346.228885051
4,car,11,678199.244893831,5405318.922417083
4,truck,12,678192.1438904251,5405325.337105701
4,car,13,678198.0619757891,5405322.162380731
5,car,1,678194.4672006874,5405316.78696655
5,car,2,678161.9488621831,5405327.629032277
5,car,3,678148.0129593227,5405287.657959739
5,car,4,678148.7355633338,5405284.218244007
5,car,5,678192.248768887,5405320.096043369
5,car,6,678160.6662755817,5405336.297990773
5,car,7,678158.6546702785,5405326.199224489
5,car,8,678165.9197236432,5405342.267528266
5,cyclist,9,678147.3186357089,5405309.057944285
5,car,10,678161.8631514714,5405346.228885051
5,car,11,678199.244893831,5405318.922417083
5,truck,12,678192.1438904251,5405325.337105701
5,car,13,678198.0619757891,5405322.162380731
5,car-transporter,14,678175.0446500013,5405330.114964179
6,car,1,678194.4672006874,5405316.78696655
6,car,2,678161.9488621831,5405327.629032277
6,car,3,678148.0129593227,5405287.657959739
6,car,4,678148.7355633338,5405284.218244007
6,car,5,678192.248768887,5405320.096043369
6,car,6,678160.6662755817,5405336.297990773
6,car,7,678158.6546702785,5405326.199224489
6,car,8,678165.8516790953,5405342.7511740625
6,cyclist,9,678147.3519030819,5405309.101486692
6,car,10,678161.831967959,5405346.174184691
6,car,11,678199.244893831,5405318.922417083
6,truck,12,678192.1438904251,5405325.337105701
6,car,13,678198.0619757891,5405322.162380731
6,car-transporter,14,678174.9264812982,5405330.119323782
7,car,1,678194.4672006874,5405316.78696655
7,car,2,678161.9488621831,5405327.629032277
7,car,3,678148.0129593227,5405287.657959739
7,car,4,678148.7355633338,5405284.218244007
7,car,5,678192.248768887,5405320.096043369
7,car,6,678160.6662755817,5405336.297990773
7,car,7,678158.6546702785,5405326.199224489
7,car,8,678165.8240583937,5405343.272554429
7,cyclist,9,678147.4989168544,5405309.091228994
7,car,10,678161.831967959,5405346.174184691
7,car,11,678199.244893831,5405318.922417083
7,truck,12,678192.1438904251,5405325.337105701
7,car,13,678198.0717148115,5405322.138571218
7,car-transporter,14,678174.8481653421,5405330.164045658
8,car,1,678194.4672006874,5405316.78696655
8,car,2,678161.9488621831,5405327.629032277
8,car,3,678148.0129593227,5405287.657959739
8,car,4,678148.7355633338,5405284.218244007
8,car,5,678192.248768887,5405320.096043369
8,car,6,678160.6382778285,5405336.263545741
8,car,7,678158.6455238534,5405326.21449196
8,car,8,678165.6880992164,5405343.679058753
8,cyclist,9,678147.57817636,5405309.128452037
8,car,10,678161.831967959,5405346.174184691
8,car,11,678199.244893831,5405318.922417083
8,truck,12,678192.1438904251,5405325.337105701
8,car,13,678198.0717148115,5405322.138571218
8,car-transporter,14,678174.8070897224,5405330.252193605
9,car,1,678194.4672006874,5405316.78696655
9,car,2,678161.9488621831,5405327.629032277
9,car,3,678148.0129593227,5405287.657959739
9,car,4,678148.7355633338,5405284.218244007
9,car,5,678192.248768887,5405320.096043369
9,car,6,678160.6481638226,5405336.245628861
9,car,7,678158.6455238534,5405326.21449196
9,car,8,678165.6820388767,5405344.159078234
9,cyclist,9,678147.6537516678,5405309.134667845
9,car,10,678161.831967959,5405346.174184691
9,car,11,678199.244893831,5405318.922417083
9,truck,12,678192.1438904251,5405325.337105701
9,car,13,678198.0717148115,5405322.138571218
9,car-transporter,14,678174.4681496592,5405330.109367669
10,car,1,678194.4672006874,5405316.78696655
10,car,2,678161.9488621831,5405327.629032277
10,car,3,678148.0129593227,5405287.657959739
10,car,4,678148.7355633338,5405284.218244007
10,car,5,678192.248768887,5405320.096043369
10,car,6,678160.6273051188,5405336.287284669
10,car,7,678158.6556461933,5405326.192765565
10,car,8,678165.5790389657,5405344.496182352
10,cyclist,9,678147.6883742922,5405309.1308894595
10,car,10,678161.831967959,5405346.174184691
10,car,11,678199.244893831,5405318.922417083
10,truck,12,678191.6422322494,5405327.087311808
10,car,13,678198.0717148115,5405322.138571218
10,car-transporter,14,678174.6114185809,5405330.301245264
11,car,1,678194.4672006874,5405316.78696655
11,car,2,678161.9488621831,5405327.629032277
11,car,3,678148.0129593227,5405287.657959739
11,car,4,678148.7355633338,5405284.218244007
11,car,5,678192.248768887,5405320.096043369
11,car,6,678160.6382778285,5405336.263545741
11,car,7,678158.6556461933,5405326.192765565
11,car,8,678165.5437024864,5405345.030614032
11,cyclist,9,678147.7536704517,5405309.148424061
11,car,10,678161.831967959,5405346.174184691
11,car,11,678199.244893831,5405318.922417083
11,truck,12,678191.6222310001,5405327.136280015
11,car,13,678198.0619757891,5405322.162380731
11,car-transporter,14,678174.570970109,5405330.388448559
12,car,1,678194.4672006874,5405316.78696655
12,car,2,678161.9488621831,5405327.629032277
12,car,3,678148.0129593227,5405287.657959739
12,car,4,678148.7355633338,5405284.218244007
12,car,5,678192.248768887,5405320.096043369
12,car,6,678160.6273051188,5405336.287284669
12,car,7,678158.6556461933,5405326.192765565
12,car,8,678165.2882636231,5405345.165369686
12,cyclist,9,678147.8544831485,5405309.191348158
12,car,10,678161.8631514714,5405346.228885051
12,car,11,678199.244893831,5405318.922417083
12,truck,12,678191.9251668581,5405328.460526178
12,car,13,678198.0619757891,5405322.162380731
12,car-transporter,14,678174.5759502399,5405330.496020885
13,car,1,678194.4672006874,5405316.78696655
13,car,2,678161.9488621831,5405327.629032277
13,car,3,678148.0129593227,5405287.657959739
13,car,4,678148.7468828852,5405284.215856344
13,car,5,678192.248768887,5405320.096043369
13,car,6,678160.6273051188,5405336.287284669
13,car,7,678158.6455238534,5405326.21449196
13,car,8,678165.4037738952,5405345.910807514
13,cyclist,9,678147.9243554266,5405309.212551953
13,car,10,678161.9220158097,5405346.332141555
